Emrakul,Halimar Depth,Serum Powder,Shelldock Isle,Shadwborn Apostle,Max Mulliagan,Exile Emrakul,Exile Shelldock Isle,Lose,Turn 4,Turn 5,Turn 4 + Turn 5 - Lose,Turn 6,Turn 7,Turn 8,Turn 9
4,3,4,4,41,3,3,3,19.98,11.75,20.2,11.97,16.85,13.8,10.48,6.94
4,4,4,4,40,3,3,3,20.46,11.95,20.38,11.87,17.21,13.6399,9.94,6.41999
4,4,3,4,41,3,3,3,19.8699,11.39,20.33,11.8501,17.68,14.16,10.29,6.27999
4,3,3,4,42,3,3,3,19.53,11.2,20.1199,11.7899,17.18,14.3999,10.74,6.83
4,4,2,4,42,3,3,3,19.38,10.9799,20.03,11.6299,17.93,14.79,10.56,6.32999
4,4,3,4,41,3,3,2,20.02,11.28,20.1699,11.4299,17.59,14.35,10.22,6.35
4,4,3,4,41,3,2,3,20.07,11.43,19.9399,11.2999,17.59,14.26,10.25,6.47
4,3,3,4,42,3,3,2,19.63,11,19.89,11.26,17.3499,14.45,10.8799,6.8
4,4,2,4,42,3,3,2,19.53,10.9,19.89,11.26,17.96,14.87,10.61,6.23
4,3,2,4,43,3,3,3,19.17,10.57,19.85,11.25,17.74,14.89,11.07,6.72
4,4,2,4,42,3,2,3,19.6,10.9,19.8699,11.1699,17.97,14.86,10.4899,6.31
4,4,2,4,42,3,2,2,19.61,10.77,19.9399,11.0999,17.89,14.87,10.57,6.36
4,3,2,4,43,3,3,2,19.23,10.63,19.68,11.08,17.66,14.93,11.15,6.72
4,3,4,4,41,3,3,2,20.3499,11.4599,19.9199,11.0299,16.9199,13.8199,10.6399,6.88
4,4,4,4,40,3,3,2,20.83,11.79,20.05,11.01,17.26,13.6,10.05,6.43
3,3,2,4,44,3,2,3,19.91,10.7,20.18,10.97,18.08,14.89,10.42,5.81
4,4,3,4,41,3,2,2,20.22,11.27,19.89,10.94,17.5499,14.35,10.33,6.39
4,3,3,4,42,3,2,3,19.8699,11.04,19.74,10.9101,17.27,14.2199,10.9,6.95
4,3,2,4,43,3,2,3,19.35,10.68,19.56,10.89,17.73,14.7999,11.1299,6.76
4,3,2,4,43,3,2,2,19.29,10.58,19.56,10.85,17.72,15.0499,11.1299,6.68
4,3,4,4,41,3,2,3,20.62,11.48,19.9199,10.7799,16.55,13.93,10.45,7.04999
4,4,1,4,43,3,3,2,19.41,10.48,19.7,10.77,18.12,15.25,10.87,6.18
3,3,3,4,43,3,2,3,20.59,11.08,20.26,10.75,17.68,14.31,10.17,5.92
3,3,2,4,44,3,2,2,20.07,10.71,20.09,10.73,18.08,14.8999,10.4,5.76
4,4,4,4,40,3,2,3,21,11.65,20.08,10.73,17.1199,13.6,10.05,6.5
4,3,3,4,42,3,2,2,19.95,10.86,19.73,10.64,17.23,14.4699,10.87,6.9
3,3,1,4,45,3,2,3,19.67,10.19,20.11,10.63,18.45,15.31,10.62,5.65
4,4,1,4,43,3,3,3,19.4399,10.47,19.57,10.6001,18.15,15.37,10.73,6.26
3,3,1,4,45,3,2,2,19.73,10.31,19.9399,10.5199,18.35,15.4099,10.61,5.65
4,4,1,4,43,3,2,3,19.65,10.42,19.64,10.41,18.0299,15.1299,10.93,6.18999
4,4,4,4,40,3,2,2,21.14,11.54,20,10.4,16.8699,13.79,10.17,6.47999
4,3,4,4,41,2,3,3,21.7,11.7,20.39,10.39,17.57,13.26,9.08,6.3
4,3,1,4,44,3,3,3,19.1399,10.07,19.4399,10.37,17.96,15.49,11.31,6.59
4,3,1,4,44,3,2,3,19.23,10.17,19.28,10.22,17.98,15.37,11.33,6.64
4,4,1,4,43,3,2,2,19.64,10.42,19.3,10.08,18.22,15.27,10.82,6.32999
4,3,4,4,41,3,2,2,20.81,11.2199,19.66,10.0699,16.74,13.88,10.6399,7.06
4,3,1,4,44,3,3,2,19.33,10.08,19.29,10.04,17.88,15.45,11.33,6.64
3,2,2,4,45,3,2,3,19.5099,9.91,19.63,10.0301,17.82,15.27,11.4,6.46
3,3,3,4,43,3,2,2,20.95,10.9799,19.99,10.0199,17.37,14.39,10.29,6.02
4,3,1,4,44,3,2,2,19.39,10.08,19.29,9.98,17.84,15.26,11.48,6.67
4,4,4,4,40,2,3,3,22.32,12.0499,20.25,9.9799,17.97,13.04,8.49,5.88
4,3,3,4,42,2,3,3,21.27,11.2,19.98,9.91,18.34,13.9199,9.07,6.22
3,3,1,4,45,3,1,3,19.95,10.1,19.7599,9.9099,18.16,15.4,10.77,5.85
4,4,3,4,41,2,3,3,21.85,11.5,20.23,9.88,18.65,13.74,8.49,5.54
3,3,0,4,46,3,2,1,19.79,9.84,19.78,9.83,18.7599,15.5099,10.76,5.56
3,3,0,4,46,3,1,1,19.84,9.93,19.73,9.82,18.63,15.6,10.74,5.54
3,2,2,4,45,3,2,2,19.61,9.86,19.56,9.81,17.82,15.26,11.41,6.47999
3,4,2,4,43,3,2,3,21.01,10.67,20.09,9.75,18.08,14.66,9.95,5.53
3,3,0,4,46,3,2,0,19.83,9.74,19.83,9.74,18.75,15.53,10.85,5.48
3,3,0,4,46,3,0,1,19.86,9.84,19.74,9.72,18.83,15.4599,10.8,5.48
3,3,0,4,46,3,1,0,19.8,9.84,19.67,9.71,18.61,15.77,10.75,5.55
3,3,0,4,46,3,0,3,19.82,9.75,19.77,9.7,18.7599,15.5599,10.74,5.62
3,4,1,4,44,3,2,3,20.47,10.37,19.78,9.68,18.52,15.15,10.29,5.42
3,3,0,4,46,3,1,2,19.84,9.74,19.77,9.67,18.83,15.58,10.78,5.46
3,3,0,4,46,3,2,3,19.81,9.74,19.71,9.64,18.78,15.61,10.75,5.6
3,3,0,4,46,3,0,2,19.8,9.75,19.68,9.63,18.63,15.6299,10.8799,5.65
4,4,3,4,41,2,3,2,22.0099,11.32,20.27,9.5801,18.64,13.6399,8.52,5.62
4,2,3,4,43,3,3,3,19.67,10.09,19.15,9.57,16.93,14.79,11.66,7.7
3,3,1,4,45,3,0,3,20.1199,10.03,19.65,9.5601,18.31,15.4099,10.71,5.77
3,3,0,4,46,3,2,2,19.82,9.66,19.7,9.54,18.79,15.61,10.82,5.6
3,4,1,4,44,3,2,2,20.68,10.35,19.8699,9.5399,18.41,15.0499,10.22,5.43
3,3,0,4,46,3,0,0,19.88,9.91,19.49,9.52,18.83,15.6299,10.72,5.54
4,4,4,4,40,2,3,2,22.53,11.76,20.29,9.52,17.89,13.18,8.51,5.83
3,3,1,4,45,3,1,2,20.22,10.1,19.62,9.5,18.29,15.22,10.74,5.81
3,3,0,4,46,3,1,3,19.97,9.64,19.78,9.45,18.77,15.65,10.67,5.52
3,2,3,4,44,3,2,3,20.38,10.24,19.58,9.44,17.3499,14.85,11.05,6.56
3,3,1,4,45,3,2,1,20.22,9.98,19.68,9.44,18.34,15.29,10.67,5.81
4,3,3,4,42,2,3,2,21.58,11.15,19.86,9.43,18.2,14.02,9.12,6.08
3,3,1,4,45,3,0,2,20.26,9.96999,19.6899,9.39989,18.42,15.16,10.7,5.81
3,4,2,4,43,3,2,2,21.24,10.77,19.84,9.37,18.0999,14.71,9.84,5.51
3,4,3,4,42,3,2,3,21.82,11.06,20.1,9.34,17.66,13.95,9.67,5.72999
4,3,4,4,41,2,3,2,22.12,11.52,19.88,9.28,17.5999,13.45,9.06,6.36
4,3,2,4,43,2,3,3,21.22,10.57,19.88,9.23,18.68,14.3999,9.25,6.01
4,4,1,4,43,3,3,1,20.1,10.19,19.13,9.22,18.17,15.25,10.99,6.17
3,3,4,4,42,3,2,3,22.09,11.3799,19.93,9.2199,16.96,13.6,9.9,6.14
3,2,1,4,46,3,2,2,19.36,9.31,19.2599,9.2099,18.4,15.87,11.41,6.38
3,3,1,4,45,3,2,0,20.33,10.09,19.4399,9.1999,18.26,15.37,10.8,5.71
3,2,3,4,44,3,2,2,20.56,10.27,19.46,9.17,17.27,14.81,11.01,6.61999
3,2,1,4,46,3,2,3,19.49,9.28,19.3,9.09,18.25,15.92,11.4599,6.29
4,4,3,4,41,2,2,3,22.13,11.24,19.95,9.06,18.5,13.73,8.73,5.72999
4,3,1,4,44,3,3,1,19.98,9.8,19.22,9.04,17.84,15.21,11.31,6.64
4,3,1,4,44,3,3,0,19.89,9.75,19.16,9.02,17.77,15.3799,11.3799,6.67
4,3,3,4,42,2,2,3,21.66,10.89,19.78,9.01,18.15,13.99,9.22,6.32
4,4,2,4,42,2,3,3,21.77,10.95,19.83,9.01,19.05,14.23,8.75,5.42
4,4,1,4,43,3,2,1,20.3699,10.17,19.1899,8.99,17.91,15.34,10.81,6.21
4,4,4,4,40,2,2,3,22.73,11.62,20.1,8.99,17.77,13.3,8.55999,5.93
4,3,1,4,44,3,2,1,19.89,9.81,19.06,8.98,17.79,15.35,11.37,6.72
4,4,0,4,44,3,3,0,20.08,9.87,19.1899,8.9799,18.21,15.4799,11,6.16
3,3,4,4,42,3,2,2,22.14,11.3,19.81,8.97,16.9199,13.7199,9.99,6.12
4,4,1,4,43,3,1,3,20.23,10.2099,18.98,8.9599,18.02,15.22,10.94,6.41
4,2,4,4,42,3,3,3,20.71,10.43,19.23,8.95,16.37,14.14,11.41,7.72
4,4,1,4,43,3,3,0,20.23,10.13,19.05,8.95,18.0299,15.3299,10.96,6.26
4,4,0,4,44,3,1,2,19.98,9.89,19.03,8.94,18.18,15.67,11,6.26
4,3,2,4,43,2,2,3,21.3499,10.7,19.58,8.9301,18.68,14.3999,9.33,5.96
4,2,4,4,42,3,3,2,20.61,10.42,19.12,8.93,16.39,14.2499,11.3799,7.81
3,4,0,4,45,3,1,0,20.57,9.89,19.61,8.93,18.7099,15.47,10.32,5.42
4,4,0,4,44,3,3,2,20.1,9.95,19.08,8.93,18.13,15.55,11.06,6.13
4,4,2,4,42,3,3,1,20.72,10.44,19.2,8.92,17.74,14.87,10.67,6.36
4,2,3,4,43,3,3,2,20.06,9.74,19.24,8.92,16.72,14.96,11.66,7.62
4,3,2,4,43,2,3,2,21.4,10.58,19.73,8.91,18.65,14.41,9.25,5.97999
4,4,0,4,44,3,0,0,19.97,9.9,18.98,8.91,18.25,15.6,11.1299,6.17
3,4,0,4,45,3,2,3,20.56,9.91,19.56,8.91,18.83,15.43,10.4,5.31
4,4,0,4,44,3,3,3,19.91,9.82,19,8.91,18.3,15.72,11.06,6.18
4,4,1,4,43,3,2,0,20.34,10.2099,19.04,8.9099,17.8499,15.44,10.84,6.27
3,3,2,4,44,3,0,3,20.88,10.32,19.46,8.9,17.84,14.91,10.5499,6.05
4,4,0,4,44,3,3,1,19.99,9.9,18.98,8.89,18.2,15.6299,11.1,6.21
4,4,2,4,42,3,3,0,20.8499,10.47,19.25,8.8701,17.5999,14.8799,10.67,6.27999
4,4,1,4,43,3,0,3,20.34,10.0599,19.15,8.8699,17.87,15.2999,10.9,6.39
3,3,2,4,44,3,0,2,20.9199,10.32,19.46,8.8601,17.73,14.95,10.65,5.97999
3,4,0,4,45,3,0,0,20.5499,9.85,19.53,8.8301,18.7599,15.4599,10.42,5.43
4,4,0,4,44,3,0,3,19.98,9.71,19.1,8.83,18.2,15.6,11.14,6.25
4,4,0,4,44,3,2,3,19.9399,9.79,18.97,8.8201,18.2799,15.7099,11.05,6.25
4,4,0,4,44,3,2,0,19.9199,9.71999,19.02,8.82009,18.17,15.84,11.05,6.27999
4,4,3,4,41,2,2,2,22.27,11.14,19.95,8.82,18.68,13.76,8.55,5.64
4,4,2,4,42,2,2,3,21.95,10.93,19.84,8.82,18.98,14.12,8.74,5.43999
3,4,3,4,42,3,2,2,22.04,10.93,19.93,8.82,17.64,14.26,9.58,5.60999
4,4,1,4,43,3,1,2,20.33,10.2,18.95,8.82,17.93,15.2999,10.94,6.35
3,4,0,4,45,3,1,3,20.61,9.76,19.66,8.81,18.74,15.4599,10.41,5.37
4,3,1,4,44,3,0,2,20.02,9.79,19.03,8.8,17.64,15.35,11.37,6.81
4,3,4,4,41,2,2,3,22.36,11.35,19.8,8.79,17.43,13.45,9.12,6.47999
4,3,2,4,43,3,3,0,20.44,10.07,19.16,8.79,17.2999,14.92,11.3,6.81
3,4,0,4,45,3,0,3,20.51,9.95,19.35,8.79,18.74,15.5599,10.53,5.36
